2, 24.0
4, 24.0
8, 24.0
16, 24.0
32, 24.0
64, 24.0
128, 24.0
256, 25.0
512, 28.0
1024, 29.0
2048, 29.0
4096, 29.2
8192, 31.0
16384, 39.0
32768, 52.0
65536, 58.4
131072, 65.4
262144, 70.4
524288, 80.3
1048576, 220699.2
